TaxonID,Family,Genus,Species,MammalName,Mass,FillMass
3,ABROCOMIDAE,Abrocoma,bennettii,Abrocoma bennettii,250.501,0
4,ABROCOMIDAE,Abrocoma,boliviensis,Abrocoma boliviensis,158.001,0
5,ABROCOMIDAE,Abrocoma,budini,Abrocoma budini,219.5006667,1
6,ABROCOMIDAE,Abrocoma,cinerea,Abrocoma cinerea,250,0
7,ABROCOMIDAE,Abrocoma,famatina,Abrocoma famatina,219.5006667,1
8,ABROCOMIDAE,Abrocoma,shistacea,Abrocoma shistacea,219.5006667,1
9,ABROCOMIDAE,Abrocoma,uspallata,Abrocoma uspallata,219.5006667,1
10,ABROCOMIDAE,Abrocoma,vaccarum,Abrocoma vaccarum,219.5006667,1
12,ABROCOMIDAE,Cuscomys,ashaninka,Cuscomys ashaninka,-9999,0
13,ABROCOMIDAE,Cuscomys,oblativa,Cuscomys oblativa,-9999,0
16,ACROBATIDAE,Acrobates,pygmaeus,Acrobates pygmaeus,12,0
18,ACROBATIDAE,Distoechurus,pennatus,Distoechurus pennatus,44.1,0
21,AILURIDAE,Ailurus,fulgens,Ailurus fulgens,4900,0
24,ANOMALURIDAE,Anomalurus,beecrofti,Anomalurus beecrofti,389,0
25,ANOMALURIDAE,Anomalurus,derbianus,Anomalurus derbianus,649.995,0
26,ANOMALURIDAE,Anomalurus,pelii,Anomalurus pelii,1769.987,0
27,ANOMALURIDAE,Anomalurus,pusillus,Anomalurus pusillus,250,0
29,ANOMALURIDAE,Idiurus,macrotis,Idiurus macrotis,30,0
30,ANOMALURIDAE,Idiurus,zenkeri,Idiurus zenkeri,100,0
32,ANOMALURIDAE,Zenkerella,insignis,Zenkerella insignis,200,0
35,ANTILOCAPRIDAE,Antilocapra,americana,Antilocapra americana,46082.921,0
38,AOTIDAE,Aotus,azarae,Aotus azarae,962.897,0
39,AOTIDAE,Aotus,brumbacki,Aotus brumbacki,800,0
40,AOTIDAE,Aotus,griseimembra,Aotus griseimembra,872.9875,1
41,AOTIDAE,Aotus,jorgehernandezi,Aotus jorgehernandezi,872.9875,1
42,AOTIDAE,Aotus,lemurinus,Aotus lemurinus,800,0
43,AOTIDAE,Aotus,miconax,Aotus miconax,800,0
44,AOTIDAE,Aotus,nancymaae,Aotus nancymaae,788.007,0
45,AOTIDAE,Aotus,nigriceps,Aotus nigriceps,1060.01,0
46,AOTIDAE,Aotus,trivirgatus,Aotus trivirgatus,899.995,0
47,AOTIDAE,Aotus,vociferans,Aotus vociferans,872.991,0
48,AOTIDAE,Aotus,zonalis,Aotus zonalis,872.9875,1
51,APLODONTIIDAE,Aplodontia,rufa,Aplodontia rufa,1003.991,0
54,ATELIDAE,Alouatta,arctoidea,Alouatta arctoidea,6549.004167,1
55,ATELIDAE,Alouatta,belzebul,Alouatta belzebul,6400,0
56,ATELIDAE,Alouatta,caraya,Alouatta caraya,5862.461,0
57,ATELIDAE,Alouatta,discolor,Alouatta discolor,6549.004167,1
58,ATELIDAE,Alouatta,guariba,Alouatta guariba,6549.004167,1
59,ATELIDAE,Alouatta,juara,Alouatta juara,6549.004167,1
60,ATELIDAE,Alouatta,macconnelli,Alouatta macconnelli,6549.004167,1
61,ATELIDAE,Alouatta,nigerrima,Alouatta nigerrima,6549.004167,1
62,ATELIDAE,Alouatta,palliata,Alouatta palliata,7274.95,0
63,ATELIDAE,Alouatta,pigra,Alouatta pigra,7000.032,0
64,ATELIDAE,Alouatta,puruensis,Alouatta puruensis,6549.004167,1
