"Scientific","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","BodyMass.Value"
"Caluromys philander","Didelphidae",20,0,0,0,10,0,20,0,10,40,1,1,0,5.43916567513542
"Caluromys derbianus","Didelphidae",20,0,0,0,10,0,20,0,10,40,1,1,0,5.6970934865054
"Caluromys lanatus","Didelphidae",20,0,0,0,10,0,20,0,10,40,1,1,0,5.78689738136671
"Caluromysiops irrupta","Didelphidae",20,0,0,0,0,0,20,40,0,20,1,0,0,5.52545293913178
"Glironia venusta","Didelphidae",40,0,0,0,20,0,20,0,20,0,1,0,0,4.74493212836325
"Didelphis imperfecta","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,7.13969205631829
"Gracilinanus formosus","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,2.99071973173045
"Gracilinanus emiliae","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,2.15176220325946
"Gracilinanus microtarsus","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,3.46573590279973
"Gracilinanus marica","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,3.21084365317094
"Gracilinanus dryas","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,2.94443897916644
"Gracilinanus aceramarcae","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,3.06805293513362
"Gracilinanus agricolai","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,2.99071973173045
"Gracilinanus agilis","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,3.13549421592915
"Gracilinanus ignitus","Didelphidae",50,0,0,0,0,0,30,20,0,0,1,1,0,2.99071973173045
"Hyladelphys kalinowskii","Didelphidae",60,10,0,0,0,10,20,0,0,0,1,0,0,2.87638551592142
"Marmosa murina","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.29583686600433
"Marmosa xerophila","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.85439389259151
"Marmosa tyleriana","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.50855589998265
"Marmosa rubra","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,4.15888308335967
"Marmosa quichua","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.66944176022146
"Marmosa mexicana","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.92098274679962
"Marmosa lepida","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,2.70805020110221
"Marmosa andersoni","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.87949981372259
"Marmosa robinsoni","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,4.05473710762732
"Marmosops handleyi","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.45631668088323
"Marmosops juninensis","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.48339161928814
"Marmosops pinheiroi","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.48339161928814
"Marmosops paulensis","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.68612566591732
"Marmosops parvidens","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,2.77258872223978
"Marmosops noctivagus","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.09104245335832
"Marmosops neblina","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.48339161928814
"Marmosops bishopi","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.02042488614436
"Marmosops impavidus","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.72569342723665
"Marmosops incanus","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,4.14788532915013
"Marmosops fuscatus","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,4.11087386417331
"Marmosops dorothea","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.65065824129374
"Marmosops cracens","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.27714473299218
"Marmosops invictus","Didelphidae",50,0,0,0,0,0,50,0,0,0,1,0,0,3.40784192438082
"Metachirus nudicaudatus","Didelphidae",30,20,20,0,10,0,20,0,0,0,1,0,0,5.92958914338989
"Micoureus demerarae","Didelphidae",90,0,0,0,0,0,10,0,0,0,1,0,0,4.34055338646731
"Micoureus regina","Didelphidae",90,0,0,0,0,0,10,0,0,0,1,0,0,4.78415284151653
"Micoureus paraguayanus","Didelphidae",30,0,0,0,30,0,20,20,0,0,1,0,0,4.73118590657095
"Micoureus constantiae","Didelphidae",90,0,0,0,0,0,10,0,0,0,1,0,0,4.51085950651685
"Micoureus alstoni","Didelphidae",90,0,0,0,0,0,10,0,0,0,1,0,0,4.89260222718466
"Micoureus phaeus","Didelphidae",90,0,0,0,0,0,10,0,0,0,1,0,0,4.65167201963951
"Monodelphis emiliae","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,3.71357206670431
"Monodelphis osgoodi","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.72738781871234
"Monodelphis umbristriata","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.13580635202969
"Monodelphis theresa","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.72738781871234
"Monodelphis sorex","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,3.89182029811063
"Monodelphis scalops","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,6.60934924316738
"Monodelphis rubida","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,3.83945231259331
"Monodelphis palliolata","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.13580635202969
"Monodelphis unistriata","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.03069453514564
"Monodelphis kunsi","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,2.50959926237837
"Monodelphis glirina","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.13580635202969
"Monodelphis domestica","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.28220629939167
"Monodelphis dimidiata","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.07753744390572
"Monodelphis brevicaudata","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.25745498342083
"Monodelphis americana","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,3.02042488614436
"Monodelphis adusta","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,3.58351893845611
"Monodelphis maraxina","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.13628593001027
"Monodelphis iheringi","Didelphidae",20,20,0,0,0,20,20,0,20,0,1,0,0,4.72738781871234
"Philander andersoni","Didelphidae",30,30,20,0,10,0,10,0,0,0,1,1,1,5.78689738136671
"Philander opossum","Didelphidae",30,30,20,0,10,0,10,0,0,0,1,1,1,6.37417266809353
"Philander mcilhennyi","Didelphidae",30,30,20,0,10,0,10,0,0,0,1,1,1,5.78689738136671
"Philander frenatus","Didelphidae",30,30,20,0,10,0,10,0,0,0,1,1,1,5.98254992971841
"Thylamys pusillus","Didelphidae",80,0,0,0,10,0,10,0,0,0,1,0,0,3.37451111639965
"Thylamys velutinus","Didelphidae",80,0,0,0,10,0,10,0,0,0,1,0,0,3.07731226054641
"Thylamys macrurus","Didelphidae",80,0,0,0,10,0,10,0,0,0,1,0,0,3.56755891887738
"Thylamys elegans","Didelphidae",80,0,0,0,10,0,10,0,0,0,1,1,0,3.39785848039664
"Thylamys pallidior","Didelphidae",80,0,0,0,10,0,10,0,0,0,1,0,0,2.76631910922619
"Tlacuatzin canescens","Didelphidae",40,10,10,0,10,0,30,0,0,0,1,0,0,3.88629485685541
"Caenolestes caniventer","Caenolestidae",70,0,0,0,10,0,10,0,0,10,1,0,0,3.71357206670431
"Caenolestes condorensis","Caenolestidae",70,0,0,0,10,0,10,0,0,10,1,0,0,3.88793520989906
"Caenolestes convelatus","Caenolestidae",70,0,0,0,10,0,10,0,0,10,1,0,0,3.71357206670431
"Caenolestes fuliginosus","Caenolestidae",70,0,0,0,10,0,10,0,0,10,1,0,0,3.3603753871419
"Lestoros inca","Caenolestidae",70,0,0,0,10,0,10,0,0,10,1,1,1,3.09557760852371
"Dasyurus hallucatus","Dasyuridae",40,30,20,0,0,0,10,0,0,0,1,1,1,6.26530121273771
"Phascolosorex doriae","Dasyuridae",70,0,0,0,0,0,30,0,0,0,1,1,0,5.13173135414014
"Phascolosorex dorsalis","Dasyuridae",70,0,0,0,0,0,30,0,0,0,1,1,0,4.93806460126142
"Antechinus agilis","Dasyuridae",80,0,0,0,10,0,10,0,0,0,1,0,0,3.14113047624335
"Peroryctes raffrayana","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,6.7328064765176
"Peroryctes broadbenti","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,8.47657950853094
"Echymipera clara","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,7.12084849444285
"Echymipera davidi","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,6.85751406254539
"Echymipera echinista","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,6.90875477931522
"Echymipera kalubu","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,6.66334978609043
"Echymipera rufescens","Peramelidae",60,0,0,0,0,0,40,0,0,0,1,0,0,7.00397413672268
"Burramys parvus","Burramyidae",40,0,0,0,0,0,30,0,30,0,1,0,0,3.74950407593037
"Cercartetus nanus","Burramyidae",20,0,10,0,0,0,20,20,10,20,1,0,0,3.2188758248682
"Cercartetus caudatus","Burramyidae",20,0,10,0,0,0,20,20,10,20,1,0,0,3.25809653802148
"Cercartetus concinnus","Burramyidae",20,0,10,0,0,0,20,20,10,20,1,0,0,2.63905732961526
"Cercartetus lepidus","Burramyidae",20,0,10,0,0,0,20,20,10,20,1,0,0,2.07944154167984
"Phalanger lullulae","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.39848023104113
"Phalanger vestitus","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.5234813125735
"Phalanger sericeus","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.60290046220476
"Phalanger rothschildi","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.21964204013074
"Phalanger ornatus","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.48913255869907
"Phalanger orientalis","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.68236723252435
"Phalanger mimicus","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.52168066482728
"Phalanger matabiru","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.52168066482728
"Phalanger intercastellanus","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.46651355650343
"Phalanger gymnotis","Phalangeridae",0,0,0,0,0,0,100,0,0,0,1,0,0,7.86283970977505
"Phalanger carmelitae","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.62486309698693
"Phalanger alexandrae","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.52168066482728
"Phalanger matanim","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,7.34665516317654
"Spilocuscus rufoniger","Phalangeridae",0,0,0,0,0,0,40,0,0,60,1,0,0,8.69968140098951
"Spilocuscus kraemeri","Phalangeridae",0,0,0,0,0,0,40,0,0,60,1,0,0,8.61909794279304
"Spilocuscus maculatus","Phalangeridae",0,0,0,0,0,0,40,0,0,60,1,0,0,8.53851427311992
"Spilocuscus papuensis","Phalangeridae",0,0,0,0,0,0,40,0,0,60,1,0,0,8.61909794279304
"Strigocuscus celebensis","Phalangeridae",0,0,0,0,0,0,100,0,0,0,1,0,0,6.21660610108486
"Strigocuscus pelengensis","Phalangeridae",10,0,0,0,10,0,40,0,0,40,1,0,0,6.21660610108486
"Trichosurus arnhemensis","Phalangeridae",0,0,0,0,0,0,20,0,20,60,1,0,0,7.1708884785125
"Trichosurus caninus","Phalangeridae",0,0,0,0,0,0,20,0,20,60,1,0,0,8.16080392095467
"Trichosurus johnstonii","Phalangeridae",0,0,0,0,0,0,20,0,0,80,1,0,0,7.73808717066451
"Trichosurus vulpecula","Phalangeridae",0,0,0,0,0,0,20,0,20,60,1,0,0,7.88269220628903
"Wyulda squamicaudata","Phalangeridae",20,0,0,0,10,0,20,0,0,50,1,0,0,7.42416528104203
"Petropseudes dahli","Pseudocheiridae",0,0,0,0,0,0,30,0,0,70,1,0,0,7.40306109109009
"Pseudocheirus peregrinus","Pseudocheiridae",0,0,0,0,0,0,20,10,0,70,1,0,0,6.80350525760834
"Pseudochirulus caroli","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,6.12472715361275
"Pseudochirulus schlegeli","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,5.54689471911906
"Pseudochirulus mayeri","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,5.0288025980517
"Pseudochirulus larvatus","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,6.10769081607611
"Pseudochirulus herbertensis","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,7.00246527871443
"Pseudochirulus forbesi","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,6.46171814510893
"Pseudochirulus cinereus","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,6.88600034717911
"Pseudochirulus canescens","Pseudocheiridae",0,0,0,0,0,0,20,0,0,80,1,0,0,5.70711026474888
"Pseudochirops albertisii","Pseudocheiridae",0,0,0,0,0,0,10,0,0,90,1,0,0,6.66676593452234
"Pseudochirops archeri","Pseudocheiridae",0,0,0,0,0,0,10,0,0,90,1,0,0,6.99622392696975
"Pseudochirops corinnae","Pseudocheiridae",0,0,0,0,0,0,10,0,0,90,1,0,0,7.02464903045364
"Pseudochirops coronatus","Pseudocheiridae",0,0,0,0,0,0,10,0,0,90,1,0,0,7.31388683163346
"Pseudochirops cupreus","Pseudocheiridae",0,0,0,0,0,0,10,0,0,90,1,0,0,7.45327214253806
"Dactylopsila tatei","Petauridae",80,0,0,0,0,0,10,0,0,10,1,0,0,5.53338948872752
"Dactylopsila trivirgata","Petauridae",80,0,0,0,0,0,10,0,0,10,1,0,0,6.02714534831336
"Dactylopsila palpator","Petauridae",80,0,0,0,0,0,10,0,0,10,1,0,0,5.98896141688986
"Dactylopsila megalura","Petauridae",80,0,0,0,0,0,10,0,0,10,1,0,0,5.63027944769136
"Distoechurus pennatus","Acrobatidae",40,0,0,0,0,0,40,20,0,0,1,0,0,3.80888224650863
"Dendrolagus inustus","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.47518233364607
"Dendrolagus lumholtzi","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,8.81744592104187
"Dendrolagus matschiei","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,8.84807842116867
"Dendrolagus mbaiso","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.14804573145446
