"SpecName","PalmTribe","accGenus","accSpecies","Acaulescent","Erect","MaxStemHeight_m","AverageFruitLength_cm"
"Acanthophoenix crinita","Areceae","Acanthophoenix","crinita",0,1,2.39789527279837,0.500775287912489
"Acanthophoenix rousselii","Areceae","Acanthophoenix","rousselii",0,1,3.25809653802148,1.09861228866811
"Acanthophoenix rubra","Areceae","Acanthophoenix","rubra",0,1,2.77258872223978,0.693147180559945
"Acoelorrhaphe wrightii","Trachycarpeae","Acoelorrhaphe","wrightii",0,1,2.31253542384721,0.53062825106217
"Acrocomia aculeata","Cocoseae","Acrocomia","aculeata",0,1,2.56494935746154,1.65822807660353
"Acrocomia crispa","Cocoseae","Acrocomia","crispa",0,1,2.94443897916644,1.25276296849537
"Acrocomia emensis","Cocoseae","Acrocomia","emensis",1,0,0,1.09861228866811
"Acrocomia glaucescens","Cocoseae","Acrocomia","glaucescens",0,1,NA,NA
"Acrocomia hassleri","Cocoseae","Acrocomia","hassleri",1,0,0,1.17865499634165
"Acrocomia intumescens","Cocoseae","Acrocomia","intumescens",0,1,NA,1.7227665977411
"Acrocomia media","Cocoseae","Acrocomia","media",0,1,2.77258872223978,NA
"Acrocomia totai","Cocoseae","Acrocomia","totai",0,1,NA,1.38629436111989
"Actinokentia divaricata","Areceae","Actinokentia","divaricata",0,1,2.30258509299405,1.28093384546206
"Actinokentia huerlimannii","Areceae","Actinokentia","huerlimannii",0,1,2.30258509299405,1.38629436111989
"Actinorhytis calapparia","Areceae","Actinorhytis","calapparia",0,1,3.71357206670431,2.39789527279837
"Adonidia maturbongsii","Areceae","Adonidia","maturbongsii",0,1,NA,1.19392246847243
"Adonidia merrillii","Areceae","Adonidia","merrillii",0,1,2.07944154167984,1.25276296849537
"Aiphanes acanthophylla","Cocoseae","Aiphanes","acanthophylla",0,1,NA,0.8754687373539
"Aiphanes acaulis","Cocoseae","Aiphanes","acaulis",1,0,0,0.693147180559945
"Aiphanes bicornis","Cocoseae","Aiphanes","bicornis",0,1,0.405465108108164,0.470003629245736
"Aiphanes buenaventurae","Cocoseae","Aiphanes","buenaventurae",0,1,1.6094379124341,NA
"Aiphanes chiribogensis","Cocoseae","Aiphanes","chiribogensis",0,1,1.38629436111989,0.741937344729377
"Aiphanes deltoidea","Cocoseae","Aiphanes","deltoidea",0,1,1.09861228866811,0.832909122935104
"Aiphanes duquei","Cocoseae","Aiphanes","duquei",0,1,1.79175946922805,0.717839793150317
"Aiphanes eggersii","Cocoseae","Aiphanes","eggersii",0,1,2.39789527279837,1.01160091167848
"Aiphanes erinacea","Cocoseae","Aiphanes","erinacea",0,1,1.79175946922805,0.559615787935423
"Aiphanes gelatinosa","Cocoseae","Aiphanes","gelatinosa",0,1,2.30258509299405,0.916290731874155
"Aiphanes graminifolia","Cocoseae","Aiphanes","graminifolia",0,1,1.79175946922805,0.405465108108164
"Aiphanes grandis","Cocoseae","Aiphanes","grandis",0,1,3.09104245335832,1.14740245283754
"Aiphanes hirsuta","Cocoseae","Aiphanes","hirsuta",0,1,2.39789527279837,0.854415328156068
"Aiphanes horrida","Cocoseae","Aiphanes","horrida",0,1,2.39789527279837,1.08180517035173
"Aiphanes leiostachys","Cocoseae","Aiphanes","leiostachys",0,1,1.79175946922805,NA
"Aiphanes lindeniana","Cocoseae","Aiphanes","lindeniana",0,1,2.07944154167984,0.916290731874155
