PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Acoelorrhaphe wrightii,Patagioenas leucocephala,BIRDS,Columbidae,Neotropics,Acoelorrhaphe wrightii_Patagioenas leucocephala,1,240.14,0.7,Trachycarpeae,Coryphoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Anodorhynchus hyacinthinus,BIRDS,Psittacidae,Neotropics,Acrocomia aculeata_Anodorhynchus hyacinthinus,1,1331,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Ara ararauna,BIRDS,Psittacidae,Neotropics,Acrocomia aculeata_Ara ararauna,0,1125,4.25,Cocoseae,Arecoideae,BRAZIL,BZC,V8EG6I87
Acrocomia aculeata,Ara ararauna,BIRDS,Psittacidae,Neotropics,Acrocomia aculeata_Ara ararauna,1,1125,4.25,Cocoseae,Arecoideae,BRAZIL,BZC,ZRDKEIW7
Acrocomia aculeata,Ara glaucogularis,BIRDS,Psittacidae,Neotropics,Acrocomia aculeata_Ara glaucogularis,1,783.99,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Bos primigenius,MAMMAL,Bovidae,Neotropics,Acrocomia aculeata_Bos primigenius,1,750000,4.25,Cocoseae,Arecoideae,COSTA RICA,COS,FAIRCHILD
Acrocomia aculeata,Cuniculus paca,MAMMAL,Cuniculidae,Neotropics,Acrocomia aculeata_Cuniculus paca,1,8000,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Cyanocorax cyanopogon,BIRDS,Corvidae,Neotropics,Acrocomia aculeata_Cyanocorax cyanopogon,1,146,4.25,Cocoseae,Arecoideae,BRAZIL,BZC,UXHTK2DH
Acrocomia aculeata,Dasyprocta azarae,MAMMAL,Dasyproctidae,Neotropics,Acrocomia aculeata_Dasyprocta azarae,1,2309.989,4.25,Cocoseae,Arecoideae,BRAZIL,BZC,P7EDA2HI
Acrocomia aculeata,Didelphis albiventris,MAMMAL,Didelphidae,Neotropics,Acrocomia aculeata_Didelphis albiventris,1,904.003,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Euphractus sexcinctus,MAMMAL,Dasypodidae,Neotropics,Acrocomia aculeata_Euphractus sexcinctus,1,4782.886,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Liomys salvini,MAMMAL,Heteromyidae,Neotropics,Acrocomia aculeata_Liomys salvini,1,42,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Nectomys squamipes,MAMMAL,Cricetidae,Neotropics,Acrocomia aculeata_Nectomys squamipes,1,190.748,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Pecari tajacu,MAMMAL,Tayassuidae,Neotropics,Acrocomia aculeata_Pecari tajacu,1,21266.695,4.25,Cocoseae,Arecoideae,NA,NA,CFFXP4XP
Acrocomia aculeata,Sapajus apella,MAMMAL,Cebidae,Neotropics,Acrocomia aculeata_Sapajus apella,1,2500,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Sigmodon hispidus,MAMMAL,Cricetidae,Neotropics,Acrocomia aculeata_Sigmodon hispidus,1,92.383,4.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Acrocomia aculeata,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Acrocomia aculeata_Tayassu pecari,1,32233.688,4.25,Cocoseae,Arecoideae,PANAMA,PAN,CFFXP4XP
Aiphanes horrida,Piaractus brachypomus,FISH,Serrasalmidae,Neotropics,Aiphanes horrida_Piaractus brachypomus,1,NA,1.95,Cocoseae,Arecoideae,VENEZUELA,VEN,6WBPN3MQ
Aiphanes horrida,Thraupis episcopus,BIRDS,Thraupidae,Neotropics,Aiphanes horrida_Thraupis episcopus,1,35,1.95,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera arenaria,Ateuchus squalidus,COLEOPTERA,Scarabeidae,Neotropics,Allagoptera arenaria_Ateuchus squalidus,1,NA,1.6,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera arenaria,Cerdocyon thous,MAMMAL,Canidae,Neotropics,Allagoptera arenaria_Cerdocyon thous,1,5239.984,1.6,Cocoseae,Arecoideae,NA,BZL,EOWMSQ
Allagoptera arenaria,Cerradomys subflavus,MAMMAL,Cricetidae,Neotropics,Allagoptera arenaria_Cerradomys subflavus,1,50,1.6,Cocoseae,Arecoideae,NA,BZL,27ZFBCZP
Allagoptera arenaria,Didelphis aurita,MAMMAL,Didelphidae,Neotropics,Allagoptera arenaria_Didelphis aurita,0,1163.992,1.6,Cocoseae,Arecoideae,NA,BZL,EOROWM
Allagoptera arenaria,Didelphis aurita,MAMMAL,Didelphidae,Neotropics,Allagoptera arenaria_Didelphis aurita,1,1163.992,1.6,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera arenaria,Metachirus nudicaudatus,MAMMAL,Didelphidae,Neotropics,Allagoptera arenaria_Metachirus nudicaudatus,0,375,1.6,Cocoseae,Arecoideae,NA,BZL,EOROWM
Allagoptera arenaria,Metachirus nudicaudatus,MAMMAL,Didelphidae,Neotropics,Allagoptera arenaria_Metachirus nudicaudatus,1,375,1.6,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera arenaria,Philander frenatus,MAMMAL,Didelphidae,Neotropics,Allagoptera arenaria_Philander frenatus,1,455.248,1.6,Cocoseae,Arecoideae,NA,BZL,EOROWM
Allagoptera arenaria,Philander opossum,MAMMAL,Didelphidae,Neotropics,Allagoptera arenaria_Philander opossum,1,585.499,1.6,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera arenaria,Procyon cancrivorus,MAMMAL,Procyonidae,Neotropics,Allagoptera arenaria_Procyon cancrivorus,1,6949.923,1.6,Cocoseae,Arecoideae,NA,BZL,EOWMSQ
Allagoptera arenaria,Trinomys eliasi,MAMMAL,Echimyidae,Neotropics,Allagoptera arenaria_Trinomys eliasi,1,245.2174,1.6,Cocoseae,Arecoideae,NA,BZL,EOROWM
Allagoptera arenaria,Trinomys iheringi,MAMMAL,Echimyidae,Neotropics,Allagoptera arenaria_Trinomys iheringi,1,203.498,1.6,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera campestris,Chrysocyon brachyurus,MAMMAL,Canidae,Neotropics,Allagoptera campestris_Chrysocyon brachyurus,1,23249.842,1.35,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera caudescens,Sciurus ingrami,MAMMAL,Sciuridae,Neotropics,Allagoptera caudescens_Sciurus ingrami,1,184.999,4.25,Cocoseae,Arecoideae,BRAZIL,BZL,W728GHWV
