referenceKey,FinalRelevance,Year,Author,Title,Journal,DOI
UXHTK2DH,YES,2014,"Purificacao, Keila Nunes; Pascotto, Marcia Cristina; Pedroni, Fernando; Nogueira Pereira, Jessiane Mayara; Lima, Naftali Alves",Interactions Between Frugivorous Birds and Plants in Savanna and Forest Formations of the Cerrado,Biota Neotropica,10.1590/1676-06032014006814
9JSXPR3K,YES,2014,"Malacco da Silva, Gustavo Bernardino; Pedroni, Fernando","Frugivory by Birds in Cerrado in the City of Uberlandia, Minas Gerais",Revista Arvore,
H4TMGDZQ,YES,2013,"Cestari, Cesar; Pizo, Marco Aurelio","Frugivory by the White-bearded Manakin (manacus Manacus, Pipridae) in Restinga Forest, An Ecosystem Associated To the Atlantic Forest",Biota Neotropica,
MJ6HJHEF,YES,2012,"Pires, Alexandra S.; Galetti, Mauro",The Agouti Dasyprocta Leporina (rodentia: Dasyproctidae) As Seed Disperser of the Palm Astrocaryum Aculeatissimum,Mastozoologia neotropical,
W728GHWV,YES,2010,"Ribeiro, Luci Ferreira; Machado Conde, Luciana Onecia; Tabarelli, Marcelo","Predation and Removal of Seeds From Five Species of Palms by Guerlinguetus Ingrami (thomas, 1901) in An Urban Fragment of the Montane Atlantic Forest",Revista Arvore,10.1590/S0100-67622010000400008 
658H5SZA,YES,2010,"Cantor, Mauricio; Ferreira, Leticia Andrade; Silva, Wesley Rodrigues; Freire Selz, Eleonore Zulnara","Potential Seed Dispersal by Didelphis Albiventris (marsupialia, Didelphidae) in Highly Disturbed Environment",Biota Neotropica,10.1590/S1676-06032010000200004 
CG6H77PE,YES,2010,"Lazure, L.; Bachand, M.; Ansseau, C.; Almeida-Cortez, J. S.","Fate of Native and Introduced Seeds Consumed by Captive White-lipped and Collared Peccaries (tayassu Pecari, Link 1795 and Pecari Tajacu, Linnaeus 1758) in the Atlantic Rainforest, Brazil",Brazilian Journal of Biology,10.1590/S1519-69842010000100008
GU9WCNZB,YES,2009,"Ramirez, Beatriz H.; Parrado-Rosselli, Angela; Stevenson, Pablo",Seed Dispersal of A Useful Palm (astrocaryum Chambira Burret) in Three Amazonian Forests With Different Human Intervention,Colombia Forestal,
HWXFB448,YES,2009,"Pinto, S. R. R.; Santos, A. M. M.; Tabarelli, M.",Seed Predation by Rodents and Safe Sites for  Large-seeded Trees in A Fragment of the Brazilian Atlantic Forest,Brazilian Journal of Biology,10.1590/S1519-69842009000400003 
KDCQJ6PB,YES,2006,"Christianini, Alexander V.","Fecundidade, Dispersao E Predacao De Sementes De Archontophoenix Cunninghamiana H. Wendl. & Drude, Uma Palmeira Invasora Da Mata Atlantica",Brazilian Journal of Botany,10.1590/S0100-84042006000400008
