"","IncNodePurity","IncNodePurity"
"Diet.Scav",0,0
"Diet.Nect",0.144551923248054,0.181147293868919
"Diet.Vfish",0.853271471598012,0.609529255244956
"Diet.Vunk",0.894507910083651,0.797078782638156
"Activity.Diurnal",1.14179017397128,0.856996357840531
"Diet.Vend",2.12395188001717,0.991716638074316
"BodyMass.Value",2.13847704176096,4.22569392040599
"Diet.Seed",2.43085372409544,4.76974604717691
"Diet.PlantO",3.64317842906005,6.07645656789179
"Activity.Nocturnal",3.93883105396434,6.70080524090416
"Activity.Crepuscular",4.64289416959665,7.74565840296932
"Diet.Fruit",6.26146525913236,9.14311238891089
"Diet.Vect",6.54372410723798,16.0305298416727
"Diet.Inv",7.44755918628784,17.9435030526173
